BL record ID;Title;Standardised title;Other titles;Composer;Composer life dates;Other names;Publication date (standardised);Country of publication;Place of publication;Publisher;Notes;Contents;Subject/genre terms;Voices;Titles madrigals
4715718;Intauolatura de li Madrigali di Verdelotto da Cantare et Sonare nel Lauto, intauolati per ... Messer Adriano Vuillaert ... Nouamente Stampata. Et ... correta, etc;Madrigali a quatro voci. Lib. 1, 2;;Verdelot, Philippe;1480-1530;Willaert, Adrian;1540;Italy;Venetiis;Apud Hieronymum Scotum;;;;4;
4717387;Di Cornelio Verdonch Madrigali a Sei Voci, etc. Canto. (Alto.) (Tenore.) (Sesto.);;;Verdonck, Cornelius;1563-1625;;1603;Belgium;Anuersa;Appresso Pietro Phalesio;;;;6;
4719703;Il primo libro de madrigali a sei voci;Madrigals. voices (6). book 1;;Vinci, Pietro;1525-1584;"Farnese, Ottavio [dedicatee] ; Mira, Leandro [composer] ; Scotto, Girolamo [printer]";1571;Italy;"In Vinegia ; Venice";Appresso Girolamo Scotto;"Collection of madrigals for six voices (SATB 56), with an alphabetical list of contents, dedicated to Ottavio Farnese ; Transcribed title page from alto part book: DI PIETRO VINCI / SICILIANO / DELLA CITTA DI NICOSIA / Maestro di capella nella Città di Bergamo. / IL PRIMO LIBRO DE MADRIGALI A SEI VOCI. / Nuouamente posti in luce. / IN VINEGIA, / APPRESSO GIROLAMO SCOTTO, / M D LXXI ; Copy at D.177.a. Digitised score at http://purl.org/rism/BI/1571/13 ; Copy at D.177.a. ALTO (12 leaves); original pagination: [1-2], 3-23, [24] p.; paper dimensions: 206 x 150 mm";Passa la nave mia colma d'oblio (seconda parte: Pioggia di lagrimar nebbia di sdegni) -- Questa donna gentil tant’era bella -- Lasciatemi morire -- Chi non sa che chi v’ama -- Io sarò sempr'avinto a tutte l'hore -- Sestina. A qualunque animale alberga in terra (seconda stanza: Et io da che comincia la bell’alba) (terza stanza: Quando la sera scaccia il chiaro giorno) (quarta stanza: Non credo che pascesse mai per selva) (quinta stanza: -- Prima ch’i torni a voi lucenti stelle) (ultima stanza: Con lei foss’io da che si parte il Sole -- Amor [fra l’herbe] una leggiadra rete (seconda parte: E ‘l chiaro lume che sparir fa ‘l Sole) -- Quantunque a voi lontano (seconda parte: Voi sola mi poneste) Apremi Amor le labbia esci soave / Leandro Mira -- Amor mi strugg’il cor fortuna il priva / Leandro Mira -- I vo piangendo i miei passati tempi (second part: Si che [s’io viss’in guerr’]et in tempesta) -- Vieni vieni himeneo / Leandro Mira;Madrigals, Italian;6;
4719704;Il secondo libro de madrigal a sei voci, con vno dialogo a dodeci;Madrigals. voices (6). book 2;"Secondo libro de madrigal a sei voci, con uno dialogo a dodeci ; Mi pung’il dardo et m’onge ; Vinci che con la musa ; Madrigals";Vinci, Pietro;1525-1584;"Caracciolo, Paolo ; Monino, Giovanni ; Vinci, Pietro, book 2, Alma Isabella in guis’appaga ; Vinci, Pietro, book 2, Amar tacendo ; Vinci, Pietro, book 2, Bagn’er’io et almo ; Vinci, Pietro, book 2, Caro dolce ben mio ; Vinci, Pietro, book 2, Chi fia mai che mi steghi ; Vinci, Pietro, book 2, Com’esser può Tiranno ; Vinci, Pietro, book 2, Cresci vago et adorno ; Vinci, Pietro, book 2, D’una terrena stella ; Vinci, Pietro, book 2, Es tan grave mi dolor ; Vinci, Pietro, book 2, Fiamm’Amorosa e bella ; Vinci, Pietro, book 2, Giovinetta gentil, alma Grumella ; Vinci, Pietro, book 2, Io felice sarei felice ; Vinci, Pietro, book 2, Marmo fui che percosso gettai faville ; Vinci, Pietro, book 2, Miracol’ nuovo (i) ; Vinci, Pietro, book 2, Miracol’ nuovo (ii) ; Vinci, Pietro, book 2, Miser alma, perchè tanto sospiri ; Vinci, Pietro, book 2, Muse del sacro Aonio ; Vinci, Pietro, book 2, Penso talhor come lucente stella ; Vinci, Pietro, book 2, Pie vago ; Vinci, Pietro, book 2, Sommo signor e Dio ; Vinci, Pietro, book 2, Stella lucida e pura ; Vinci, Pietro, book 2, Tanto piacer prov’io ; Vinci, Pietro, book 2, Uscia l’aurora già de l’oriente ; Scotto (Firm) [printer]";1579;Italy;"In Vineggia ; Venice";Appresso l'herede di Girolamo Scotto;"Collection of madrigals in six parts (SATB56) mostly by Pietro Vinci, with one madrigal each by Paolo Caracciolo and Giovanni Monino ; Title from Tenor part book ; With table of contents, and dedication in Italian ; Transcribed title page from Tenore part book: TENORE / DI PIETRO VINCI / Siciliano della Città di Nicosia / MAESTRO DI CAPELLA / in Santa Maria Maggior di Bergamo. / IL SECONDO LIBRO DE MADRIGALI / a sei voci, Con vno dialogo a dodeci. / Nouamente posto in luce. / IN VINEGGIA. / Appresso l’herede di Girolamo Scotto. / MDLXXIX ; Copy at D.177.e. Tenore (16 leaves)";"Mvse del sacro Aonio (Al molto Illustre ‘S. Don Antonio Londonia’) -- Alma Isabella in guis’appaga (All’ Illustre Signora Don[n]a Isabella Londonia) -- Tanto piacer prou’io -- Il pie vago -- Stella lucida e pura -- D’vna terrena stella -- Penso tal hor come lucente stella -- Caro dolce ben mio -- Chi fia mai che mi sleghi -- Miser alma perche tanto sospiri -- Marmo fui che percosso gettai fauille -- Fiamm’amorosa e bella -- Giouinetta gentil alma Grumella (All Illustre Signora Fuluia Grummella) -- Amar tacendo -- Io felice sarei felice -- Voi volete ch’io mora -- Com’esser può tiranno -- Es tan graue mi dolor -- Cresci vago et adorno (All’ Illustre S. Don Carlo Londonio) -- Mi pung’il dard’et m’onge / Paolo Caracciolo, discepolo di Pietro Uinci -- Vscia l’aurora già de l’oriente -- Bagn’er io & almo (a M. Benedetto Bagnerio) -- Vinci che con la musa / Gio. Monino, al molto illustre S. Don Antonio Londonio -- Sommo signor e Dio : canzon (Seco[n]da sta[n]za: Andrà sempre si altiero ; Terza stanza: Fa che’l mio duro sce[m]pio ; Quarta stanza: Io dalla mia virtute ; Ultima stanza: Qvando haurà gioia e pace) -- Miracol nouo : terzo choro -- Miracol nouo : terzo choro";Madrigals, Italian;"6; 12";
4719705;Il secondo libro de madregali a sei voci : con uno dialogo a dodeci;Madrigals. voices (6). book 2;;Vinci, Pietro;1525-1584;"Caracciolo, Paolo [composer] ; Monino, Giovanni [composer] ; Scotto, Melchiorre [printer]";1583;Italy;"In Vinegia ; Venice";Appresso l'Herede di Girolamo Scotto;"Collection of madrigals for six voices, with table of contents in alphabetical order. All six-part works except for the last, which is in twelve parts (three choirs) ; Reprint of RISM B/I 1579/6 ; Names of dedicatees include: Benedetto Bagnerio, Fulvia Grumella, Don Antonio Londonio, Don Carlo Londonio, and Donna Isabella Londonia ; Transcribed title page from canto part book: DI PIETRO VINCI / SICILLIANO DELLA CITTA / DI NICOSIA. / MAESTRO DI CAPELLA / In Santa Maria Maggior di Bergamo. / IL SECONDO LIBRO DE MADREGALI / a sei voci, Con vno dialogo a dodeci. / Nuouamente posti in luce. / IN VINEGIA Appresso l’Herede di Girolamo Scotto. / M D. LXXXIII ; Copy at D.177. Digitised score at http://purl.org/rism/BI/1583/20 ; Copy at D.177. CANTO (16 leaves), ALTO (16 leaves), TENORE (16 leaves), BASSO (16 leaves), QVINTO (16 leaves), SESTO (16 leaves); original pagination: Canto: [1-2], 3-31, [32] Alto: [1-2], 3-31, [32], Tenore: [1-2], 3-31, [32], Basso: [1-2], 3-31, [32], Quinto: [1-2], 3-31, [32], Sesto: [1-2], 3-31, [32]; paper dimensions: 215 x 167 mm";Muse del sacro Aonio -- Alma ISABELLA l’occhio e l’intelletto -- Tanto piacer prov’io tanta dolcezza -- Il pie vago movea vezzosa pastorella -- Stella lucida e pura -- D’una terrena stella -- Penso tal hor come lucente stella -- Caro dolce ben mio -- Chi fia mai che mi sleghi -- Miser alma [perche tanto sospiri] -- Marmo fui che percosso gettai faville -- Fiamm’Amorosa e bella ch’in te stessa movendo -- Giovinetta gentil alma Grumella -- Amor tacendo la bellezza vostra Mi fa donna languire -- Io felice sarei -- Voi volete ch’io mora -- Com’esser può Tiranno ingrate Amore -- Es tan grave mi dolor Y tan estrano el tormento -- Cresci vago & adorno Sorgi candido fiore -- Mi pung’il dard & m’onge il mel / Paolo Caracciolo discepolo di Pietro Vinci -- Uscia l’aurora già de l’oriente -- Bagn’er’io & almo ove solean bagnarsi -- Vinci che con la musa A te d’Apoll’infusa / Gio Monino -- Canzon. Sommo Signor e Dio (seconda stanza: Andrà sempre sì altiero il mio nemico) (terza stanza: Fa che’l mio duro scempio) (quarta stanza: Io dalla mia virtute Non sper’haver) (ultima stanza: Quando havrà gioia e pace) -- Miracol novo ov’e tua luc’o sole;Madrigals, Italian;"6; 12";
4719706;Il primo libro de madrigali a cinque voci;Madrigals. voices (5). libro 1;;Vinci, Pietro;1525-1584;"Scotto, Girolamo [printer] ; Severino, Giulio [composer]";1566;Italy;"In Vinegia ; Venice";Appresso Girolamo Scotto;"Collection of madrigals in five parts (SATB5) ; Previous editions include RISM B/I 1563/16 and 1564/20 ; Transcribed title page from basso part book: DI PIETRO VINCI SICILIANO / DELLA CITTA DI NICOSIA / IL PRIMO LIBRO DE MADRIGALI / A CINQVE VOCI. / Nouamente ristampato, & da molti errori emendato. / IN VINEGIA M• D• LXVI• / APPRESSO GIROLAMO SCOTTO ; Copy at D.177.c. Digitised score at http://purl.org/rism/BI/1566/24 ; Copy at D.177.c. Bassus (12 leaves); original pagination: [1], 2-24 p.; paper dimensions: 212 x 150 mm";CANZON. Prima stanza. Che debbo far che mi consigl’amore (Seconda stanza: Amor tu 'l sent'ond'io teco) (Terza stanza: Caduta è la tua gloria) (Quarta stanza: Oime terra) (Quinta stanza: Piu che mai belle) (Sesta stanza: Donne voi che miraste) (Settima stanza: Pon fren'al gran dolor [eight part] Fuggi 'l sereno e 'l vede -- Non vid'un simil par d'amant'il sole -- Fin che signore in piu robusta etate (seconda parte: Che se 'n Principi'illustri) -- Amor m'ha posto come segn'a strale (seconda parte: I pensier son saette) -- Valle che di lamenti miei sei piena (seconda parte: Ben riconosco in voi) -- Mentre ch'el cor da gl'amorosi vermi (seconda parte: Quel foc'è morto e 'l copr'un picciol marmo) -- Aventuroso piu d'altro terreno (seconda parte: Ne ta[n]te volte ti vedrò giamai) / Giulio Severino -- Donna Reale anzi Dea ver'e pura (seconda parte: Costei volgendo gl'occh'il paradiso) -- Laura che 'l verde lauro (seconda parte: Si ch'io no[n] veggo) -- Laura serena che fra verdi fro[n]de (seconda parte: Le quali ella spargea si dolcemente) -- Laura ge[n]til che rasserena i poggi (seconda parte: Nel qual provo dolcezza) -- Se la mia vita da l'aspro torme[n]to (seconda parte: Pur mi darà tanta balda[n]z'amore) -- Temprar potess'in si soavi note -- O d'ardente virtut'ornat'e calda (seconda parte: Del vostro nome se mie rime intese) -- S'Amor novo consiglio (seconda parte: Imaginata guida la conduce);Madrigals, Italian;5;
4719707;Di Pietro Vinci ... Il Secondo Libro de Madrigali a Cinque Voci. Nouamente ristampati. Tenore. (Quinto.);;;Vinci, Pietro;1525-1584;;1589;Italy;Venetia;Appresso l'Herede di Gierolamo Scotto;;;;5;
4719708;Di Pietro Vinci ... Il Terzo Libro de Madrigali a Cinque Voci. Nuouamente posti in luce. Alto;;;Vinci, Pietro;1525-1584;;1571;Italy;Vinegia;Appresso Girolamo Scotto;;;;5;
4719721;Intauolatura di liuto ... d'alcuni madrigali d'Archadelt, nuouamente posta in luce, libro primo;;;Vindella, Giovanni Francesco;1546;Arcadelt, Jacob;1546;Italy;Venetia;Apresso di Antonio Gardane;;;;;
4719922;Di Francesco Viola Il Primo Libro de Madrigali A quatro Voci Nouamente ... dal Proprio Autore corretto & dato in Luce & per Antonio Gardane stampato, etc. Cantus. (Altus.) (Bassus.);;;Viola, Francesco;1522-1568;;1550;Italy;Venetia;Appresso di Antonio Gardane;;;;4;
4720195;Il Primo Libro de Madrigali a Cinque Voci, etc. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.);;;Virchi, Paolo;1551-1610;;1584;Italy;Venetia;Presso Giacomo Vincenzi, & Ricciardo Amadino, compagni;;;;5;
4720196;Adieu my joy and pleasure. Madrigal for five voices ... arranged with English words by T. Oliphant;Il primo libro de madrigali a cinque voci. - Dolce Amarilli;;Virchi, Paolo;1551-1610;Oliphant, Thomas;1858;England;London;;;;;5;Dolce Amarilli
4720197;Di Paolo Virchi ... Il Secondo Libro de Madrigali a cinque voci, etc. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.);;;Virchi, Paolo;1551-1610;;1588;Italy;Venetia;Appresso Giacomo Vincenzi;;;;5;
4720384;Concerto di F. Vitali. Madrigali et altri generi di Canti a 1. 2. 3. 4. 5. & 6. Voci ... Libro primo. Canto. (Quinto.);;;Vitali, Filippo;1590-1653;;1629;Italy;Venetia;Stampa del Gardano Appresso Bartholomeo Magni;;;;"1; 2; 3; 4; 5; 6";
4723433;Di Huberto Waelrant Il Primo Libro de Madrigali & Canzoni Francezi A cinque voci. - De Hubert Waelrant le Primier Liure de Chansons Francoyses & Italianes a cinq voix. Tenor. (Contra Tenor.) (Bassus.);;;Waelrant, Hubert;1516-1595;;1558;Belgium;Anuers;Per Hubert Waelrant & Ioan Latio;;;;5;
4723435;"Ye singers all', a madrigal; the words imitated from the French by T. Oliphant";Musiciens qui chantez;;Waelrant, Hubert;1516-1595;;1843;England;London;;;;;;Ye singers all
4723436;Ye Singers all. Madrigal for four voices, the poetry ... by T. Oliphant;Musiciens qui chantez;;Waelrant, Hubert;1516-1595;;1880;England;London;Novello & Co;;;;4;Ye singers all
4723441;O'er desert plains and rushy moors ... Madrigal for four voices ... The poetry by Shenstone;Symphonia angelica. - Vorria morire;;Waelrant, Hubert;1516-1595;;1815;England;London;;;;;4;O'er desert plains and rushy moors
4723442;Hard by a fountain', a madrigal, arranged and adapted to English words by T. Oliphant;Symphonia angelica. - Vorria morire;;Waelrant, Hubert;1516-1595;;1842;England;London;;;;;;Hard by a fountain
4723443;O'er desert Plains and rushy Moors. Madrigal for four Voices. The Words by Shenstone, etc;Symphonia angelica. - Vorria morire;;Waelrant, Hubert;1516-1595;;1857;;;;;;;4;O'er desert plains and rushy moors
4723444;Hard by a Fountain. Madrigal. [Words by] T. Oliphant;Symphonia angelica. - Vorria morire;;Waelrant, Hubert;1516-1595;;1894;;;;;;;;Hard by a fountain
4723445;Hard by a Fountain. Madrigal for four voices, the words ... by T. Oliphant ... Edited by J. Hullah;Symphonia angelica. - Vorria morire;;Waelrant, Hubert;1516-1595;;1903;England;London;Novello & Co;;;;4;Hard by a fountain
4723446;Hard by a Fountain. Madrigal. Words by T. Oliphant;Symphonia angelica. - Vorria morire;;Waelrant, Hubert;1516-1595;;1889;England;London;Novello & Co;;;;4;Hard by a fountain
4723447;Winter Song. A Madrigal [for three voices]. Words by M. C. Gillington;Symphonia angelica. - Vorria morire;;Waelrant, Hubert;1516-1595;;1894;;;;;;;3;Winter Song.
4729541;The First Set of English Madrigals to 3. 4. 5. and 6. parts apt both for Viols and Voyces. With a Mourning Song in memory of Prince Henry, etc. Cantus. (Altus.) (Tenor.) (Bassus.) (Quintus.) (Sextus.);First Set of English Madrigals;;Ward, John;1571-1638;;1613;England;London;Thomas Snodham;;;;"3; 4; 5; 6";
4729542;First Set of Madrigals. (1613.) <Edited by Edmund H. Fellowes. Revised by Thurston Dart.>;First Set of English Madrigals;;Ward, John;1571-1638;;1968;England;London;Stainer & Bell;;;;;
4729545;Hope of my Heart. Madrigal for five voices ... Arranged with a Piano Forte accompaniment by T. Oliphant;First Set of English Madrigals;;Ward, John;1571-1638;Oliphant, Thomas;1847;England;London;Addison & Hodson;;;;5;Hope of my Heart.
4729547;Hope of my Heart. Madrigal for five voices ... Edited by T. Oliphant;First Set of English Madrigals;;Ward, John;1571-1638;;1901;England;London;Novello & Co;;;;5;Hope of my Heart.
4729548;Hope of my Heart. Madrigal for five voices. Edited by T. Oliphant;First Set of English Madrigals;;Ward, John;1571-1638;;1902;England;London;Novello & Co;;;;5;Hope of my Heart.
4729549;John Ward's Madrigals to Four Voices ... No. 8. O my Thoughts, my Thoughts, surcease ... Edited and arranged for male voices by E. H. Fellowes;First Set of English Madrigals;;Ward, John;1571-1638;Fellowes, Edmund Horace;1925;England;London;Stainer & Bell;;;;4;O my Thoughts, my Thoughts, surcease
4729551;John Ward's Madrigals to Four Voices ... No. 7. A Satyr once did run away ... Edited and arranged for male voices by E. H. Fellowes;First Set of English Madrigals;;Ward, John;1571-1638;Fellowes, Edmund Horace;1925;England;London;Stainer & Bell;;;;4;A Satyr once did run away
4729552;Upon a Bank with Roses. Madrigal for five voices;First Set of English Madrigals;;Ward, John;1571-1638;;1890;England;London;Novello & Co;;;;5;Upon a Bank with Roses.
4731924;The first sett, of Italian madrigalls Englished, not to the sense of the originall dittie, but after the affection of the noate;Italian madrigalls Englished. Sett 1;;Watson, Thomas;1555-1592;"Byrd, William [composer] ; Conversi, Girolamo [composer] ; Darcy, Conyers Darcy, Baron [former owner] ; East, Thomas [printer] ; Essex, Robert Devereux, Earl of [dedicatee] ; Marenzio, Luca [composer] ; Nanino, Giovanni Maria [composer] ; Striggio, Alessandro [composer]";1590;England;London;imprinted by Thomas Este, the assigné of W Byrd;"Collection of Italian madrigals in four to six parts, with new English texts ; Prefatory texts to each part: laudatory poem to Luca Marenzio by Thomas Watson; dedication to Robert Devereux, Earl of Essex; and a table of contents ; Transcribed title page from Superius part book: The first sett, / Of Italian Madrigalls Englished, / not to the sense of the originall dittie, / but after the affection of the / Noate. / By Thomas Watson Gentleman. / There are also heere inserted two excellent / Madrigalls of Master VVilliam / Byrds, composed after the / Italian vaine, at the request of the sayd Thomas Watson. / Imprinted at London by Tho- / mas Este,the aßigné of William Byrd, / & are to be sold at the house of the sayd T. Este, / being in Aldersgate street, at the signe / of the black Horse. 1590. / Cum Priuilegio Regiae Maiestatis ; Copy at K.3.k.12. SVPERIVS (16 leaves); MEDIVS (12 leaves); TENOR (16 leaves); CONTRATENOR (16 leaves); BASSVS (16 leaves); SEXTVS (6 leaves); paper dimensions: 206 x 147 mm ; Copy at K.3.k.12. Digitised score at http://purl.org/rism/BI/1590/29";When first my heedles eyes beheld w[ith] pleasure / Luca Marenzio -- O merry world when every lover with his mate / Luca Marenzio -- Farewell cruell & unkind / Luca Marenzio -- Zephyrus breathing, now calls nymfs fro[m] out their bowres / Luca Marenzio -- Faire shepherds Queene, let us hand in hand inchained / Luca Marenzio -- Every singing bird yt in ye wood rejoyces / Luca Marenzio -- Alas, what a wretched life is this? / Luca Marenzio -- This sweet & merry month of May / William Byrd -- Though faint & wasted / Luca Marenzio -- Since my heedlesse eies began to be ranging / Luca Marenzio -- When all alone my bony love / Giro Converso -- When I beheld the faire face of Phyllis sleeping / Luca Marenzio -- Alas, where is my love / Luca Marenzio -- Sweet hart arise that we may take our pleasure / Luca Marenzio -- But if the countrie Gods seeke to surround thee / Luca Marenzio -- When fro[m] my selfe sweet Cupid first bereft me / Luca Marenzio -- Sweet singing Amarillis / Luca Marenzio -- Fancy retyre thee / Luca Marenzio -- How long with vaine complayning / Luca Marenzio -- All yee that joy in wayling / Giov. Maria Nanino -- O heare me heave[n]ly powrs all at one calling / Luca Marenzio -- In chaynes of hope and feare / Luca Marenzio -- When Meliboeus soul flying he[n]ce departed / Luca Marenzio -- Now twinkling starres do smile / (the second part) Luca Marenzio -- Unkind o stay thy flying / Luca Marenzio -- Love hath proclamed warre by Trumpet sounded / Alessandro Striggio -- The fates alas too cruell / Luca Marenzio -- This sweet and merry month of May / William Byrd;Madrigals, English;;
4735935;As Vesta was from Latmos Hill descending. Madrigal for S. S. A. T. T. B. ... No. 18 of 'The Triumphs of Oriana.' Edited by L. Benson;;;Weelkes, Thomas;1575-1623;;1907;;;;;;;6;As Vesta was from Latmos Hill descending.
4735937;As Vesta was. Madrigal for six voices;;;Weelkes, Thomas;1575-1623;;1905;England;London;Novello & Co;;;;6;As Vesta was from Latmos Hill descending.
4735941;Airs or Fantastic Spirits to three voices. (Published in 1608.) A Madrigal (♯As Vesta was') ... included ... in the ♯Triumphs of Oriana,' etc;Ayeres or phantasticke spirites;As Vesta was from Latmos hill descending;Weelkes, Thomas;1575-1623;;1916;;;;;;;3;
4735955;The Nightingale. Madrigal for four voices. Arranged for three female voices by H. Leslie;Ayeres or phantasticke spirites. Nightingale, the organ of delight. arranged;;Weelkes, Thomas;1575-1623;;1886;England;London;Novello & Co;;;;4;The Nightingale.
4735965;Balletts and Madrigals to fiue voyces, with one to 6. voyces: newly published, etc. Altus;Balletts and madrigals;;Weelkes, Thomas;1575-1623;;1598;England;London;Thomas Este;;;;"5; 6";
4735966;Balletts and Madrigals to fiue voyces, with one to 6. voyces, etc. Cantus. (Altus.) (Tenor.) (Bassus.) (Quintus.);Balletts and madrigals;;Weelkes, Thomas;1575-1623;;1608;England;London;Thomas Este, the assigne of William Barley;;;;"5; 6";
4735967;Balletts and Madrigals to fiue voyces, with one to 6. voyces, etc. Cantus. (Altus.) (Tenor.) (Bassus.) (Quintus.);Balletts and madrigals;;Weelkes, Thomas;1575-1623;;1608;England;London;Thomas Este, the assigne of William Barley;Another copy of K.3.k.14. Cantus.];;;"5; 6";
4735968;Balletts and Madrigals to five voyces, with one to 6 voyces, etc;Balletts and madrigals;;Weelkes, Thomas;1575-1623;;1895;;;;;;;"5; 6";
4735969;Ballets and Madrigals to five voices. (Published in 1598.);Balletts and madrigals;;Weelkes, Thomas;1575-1623;;1916;;;;;;;5;
4735970;Balletts and Madrigals to five Voices. (1598, 1608.) <Edited by Edmund H. Fellowes. Revised by Thurston Dart.>;Balletts and madrigals;;Weelkes, Thomas;1575-1623;;1968;England;London;Stainer & Bell;;;;5;
4735976;In Pride of May. Ym malchder mai. Di maggio in ciel. Madrigal for S. S. A. T. B. Y cyfieithiad Cymraeg gan John Eilian. Versione italiana di Luigi Colacicchi ... Ed. by W. S. Gwynn Williams. [Staff and tonic sol-fa notation.];;Balletts and madrigals;Weelkes, Thomas;1575-1623;"Gwynn Williams, W. S. (William Sidney) ; Weelkes, Thomas, In pride of May";1964;Wales;Llangollen;Gwynn Publishing Co;;;;5;In Pride of May. Ym malchder mai. Di maggio in ciel.
4735977;In Pride of May. Madrigal, etc;Balletts and madrigals. In pride of May;;Weelkes, Thomas;1575-1623;;1901;England;London;Novello & Co;;;;;In Pride of May.
4735978;Lady, your eye'. Madrigal for five voices, arranged by T. Oliphant;Balletts and madrigals. Ladie, your eye my love enforced;;Weelkes, Thomas;1575-1623;Oliphant, Thomas;1847;England;London;;;;;5;Ladie, your eye my love enforced
4735980;Lady, your Eye. Madrigal, etc;Balletts and madrigals. Ladie, your eye my love enforced;;Weelkes, Thomas;1575-1623;;1905;;;;;;;5;Ladie, your eye my love enforced
4735981;Lady, your Eye. Madrigal, etc;Balletts and madrigals. Ladie, your eye my love enforced;;Weelkes, Thomas;1575-1623;;1904;England;London;Novello & Co;;;;5;Ladie, your eye my love enforced
4735988;To shorten Winter's Sadness,' madrigal ... With an accompaniment for the piano forte by Thos Oliphant;Balletts and madrigals. To shorten winters sadnesse. arranged;;Weelkes, Thomas;1575-1623;;1835;;;;In: Oliphant (Thomas) [Ten favorite Madrigals, etc.];;;;To shorten Winter's Sadness
4735990;To shorten Winter's Sadness. Madrigal for five Voices;Balletts and madrigals. To shorten winters sadnesse;;Weelkes, Thomas;1575-1623;;1882;;;;;;;5;To shorten Winter's Sadness
4735991;Welcome sweet pleasure.' Madrigal, arranged by T. Oliphant;Balletts and madrigals. Welcome, sweet pleasure. arranged;;Weelkes, Thomas;1575-1623;Oliphant, Thomas;1840;England;London;;;;;;Welcome sweet pleasure.
4735992;Balletts and Madrigals to five voyces. Welcome, sweet Pleasure. Crowned with roses;;;Weelkes, Thomas;1575-1623;;1858;;;;;;;5;"Welcome, sweet Pleasure; Crowned with roses"
4735993;Welcome, sweet pleasure : madrigal;Balletts and madrigals. Welcome, sweet pleasure;;Weelkes, Thomas;1575-1623;Leslie, Henry;1867;England;"London ; New York";Cassell, Petter and Galpin;;;;;Welcome, sweet Pleasure.
4735994;Welcome, sweet Pleasure. Madrigal for five voices. Arranged by T. Oliphant;Balletts and madrigals. Welcome, sweet pleasure. arranged;;Weelkes, Thomas;1575-1623;;1885;England;London;Novello & Co;;;;5;Welcome, sweet Pleasure.
4735995;Welcome, sweet Pleasure. Madrigal, arranged for four men's voices, T. T. B. B., by H. A. Jeboult;Balletts and madrigals. Welcome, sweet pleasure. arranged;;Weelkes, Thomas;1575-1623;Jeboult, Harold A.;1905;England;London;Vincent Music Co;;;;4;Welcome, sweet Pleasure.
4735997;Welcome, sweet Pleasure. Madrigal for treble voices (S. S. A.) a cappella. Arranged by Jerry Wesely Harris;Balletts and madrigals. Welcome, sweet pleasure. arranged;;Weelkes, Thomas;1575-1623;Harris, Jerry Weseley;1958;United States;Boston;B F Wood Music Co;;;;3;Welcome, sweet Pleasure.
4736007;For S. S. A. T. B. <Selected from volumes 10 and 11 of The English Madrigalists edited by E. H. Fellowes. Revised by Thurston Dart.>;Madrigals;;Weelkes, Thomas;1575-1623;Fellowes, Edmund Horace;1976;England;London;Stainer & Bell;;;;5;
4736008;Madrigals to 3. 4. 5. & 6. voyces, etc. Cantus Prim9. (Cantus Secund9.) (Altus.) (Bassus.) (Quintus.) (Sextus.);Madrigals to 3. 4. 5. and 6. Voyces;;Weelkes, Thomas;1575-1623;;1597;England;London;Thomas Este;;;;"3; 4; 5; 6";
4736009;Madrigals to 3. 4. 5. & 6. voyces, etc. Cantus Primus. (Cantus Secunus.) (Altus.) (Bassus.) (Quintus.) (Sextus.);Madrigals to 3. 4. 5. and 6. Voyces;;Weelkes, Thomas;1575-1623;;1597;England;London;Thomas Este;Another copy of K.3.k.15. Cantus Primus. (Altus.)] 2 pt;;;"3; 4; 5; 6";
4736010;The First set of Madrigals, for three, four, five, and six Voices ... scored from the original part books ... and edited by Edward J. Hopkins;Madrigals to 3. 4. 5. and 6. Voyces;;Weelkes, Thomas;1575-1623;Hopkins, E. J. (Edward John);1843;England;London;Chappell;;;;"3; 4; 5; 6";
4736011;The First set of Madrigals, for three, four, five, and six Voices ... scored from the original part books ... and edited by Edward J. Hopkins;Madrigals to 3. 4. 5. and 6. Voyces;;Weelkes, Thomas;1575-1623;Hopkins, E. J. (Edward John);1843;England;London;Chappell;Another copy of I.431;;;"3; 4; 5; 6";
4736012;Madrigals to 3, 4, 5 and 6 voices. (Published in 1597.);Madrigals to 3. 4. 5. and 6. Voyces;;Weelkes, Thomas;1575-1623;;1916;;;;;;;"3; 4; 5; 6";
4736013;Madrigals to 3, 4, 5 and six Voices (1597). <Edited by Edmund H. Fellowes. Revised by Thurston Dart.>;Madrigals to 3. 4. 5. and 6. Voyces;;Weelkes, Thomas;1575-1623;;1967;England;London;Stainer & Bell;;;;"3; 4; 5; 6";
4736014;Aye me, my wonted Joys. Weh mir, die Freude ist ... Madrigal for T. T. B. B. Ins deutsche übersetzt von John A. Parkinson. Y cyfieithiad Cymraeg gan John Eilian. Versione italiana di I. L. Eaton ... Arr. John A. Parkinson. [Staff and tonic sol-fa notation.] Eng., Ger., Welsh & Ital;Madrigals to 3. 4. 5. and 6. Voyces;;Weelkes, Thomas;1575-1623;Parkinson, John A.;1961;Wales;Llangollen;Gwynn Publishing Co;;;;"3; 4; 5; 6";Aye me, my wonted Joys. Weh mir, die Freude ist
4736015;Cease, Sorrows, now.' Madrigal, etc;Madrigals to 3. 4. 5. and 6. Voyces;;Weelkes, Thomas;1575-1623;;1907;;;;;;;"3; 4; 5; 6";Cease, Sorrows, now.
