Column1,BL record ID,Title,Standardised title,Other titles,Composer,Composer life dates,Other names,Publication date (standardised),Country of publication,Place of publication,Publisher,Notes,Contents,Subject/genre terms
1431,4547384,Madregali ariosi a quatro voci,,Madrigali ariosi a quatro voci,"Muse a 4 voci, libro 1",,"Alessandrino [composer] ; Animuccia, Paolo [composer] ; Arcadelt, Jacob [composer] ; Barré, Antonio [composer] ; Caldarino, Giovanni Francesco [composer] ; Courtois, Lambert [composer] ; Danckerts, Ghiselin [composer] ; Ferro, Vicenzo [composer] ; Gardane, Antonio [printer] ; Lupacchino, Bernardino [composer] ; Nasco, Giovanni [composer] ; Nola, Gian Domenico del Giovane da [composer] ; Reulx, Anselmo de [composer] ; Ruffo, Vincenzo [composer] ; Tostolo, Giulian [composer]",1565,Italy,Venice,Antonio Gardano,"Collection of Italian madrigals in four parts (CATB) ; A reprint of the 1558 Scotto edition, RISM B/I, 1558¹² ; With table of contents at the end ; Transcribed title page from canto part book: MADREGALI ARIOSI / A QVATRO VOCI, COMPOSTI / da diuersi Eccellentissimi Authori, & per Antonio Gardano / Nouamente con somma dilligentia Ristampati. / A QVATRO VOCI / In Venetia Appresso di / Antonio Gardano. / 1565 ; Copy at A.346.b. Digitised score at http://purl.org/rism/BI/1565/10 ; Copy at A.346.b. Canto (16 leaves) Alto (16 leaves) Tenore (16 leaves) Basso (16 leaves); original foliation: Canto: [i], 1-30, [31] Alto: [i], 1-30, [31] Tenore: [i], 1-30, [31] Basso: [i], 1-30, [31]; paper dimensions: 150 x 200 mm",Dunque fia ver dicea che mi convegna (seconda stanza: Sa quest’altier ch’io l’am’et ch’io l’adoro; terza stanza: Deh ferm’Amor costui ch’e cosi sciolto; quarta stanza: Ma di che debbo lamentarmi hai lassa) / Antonio Barre -- L’aer gravato’e l’importuna nebbia / Archadelt -- Carco di tanti’honori’il signor mio / Vincenzo Ferro -- Fedel qual sempre fui tal esser voglio (seconda parte: Scarpello si vedra di piomb’o lima) / Ghiselino Danchers -- Deh come bella sete Gentil madonna mia / Vincenzo Ferro - Chi brama’udir tra noi Del ciel le glorie vere / Vincenzo Ferro -- Non e pena maggior cortesi amanti / Antonio Barre -- Ben si vedra se la nemica mia / -- Poi che per ben amar porto tormento -- Miser in van mi dogli’ e mi lamento / Julio Tostolo -- Quanto piu miro fiso Le maraviglie / Vincenzo Ferro -- S’altri s’afflig’et duole Dell’amorose pene / Anselmo -- Ne cosi bell’il sol giamai levarsi -- Occhi leggiadri amorosetti e gravi (seconda parte: Amorose mammelle Degne di piu di mille dolci basci; terza parte: O dolce mia nemica) / Lupachino -- Il dolce sonno mi promise pace / Lupacchino -- Tosto ch’il sol si scopr’in oriente / Joan Domenico di Nolla -- Sia vil a gl’altri e da quel sol amata / Alessandrino -- Ohime dov’el mio sole Che le tenebre mie facea si chiare / Lamberto -- Deh perche ciel non od’i miei lamenti -- Chiudimi gl’occhi amore Accio che cosi chiaro / Vincenzo Ruffo -- Mille sospir la nott’e mille’l giorno -- Chiara si chiaro e de vostr’occhi’l sole / Vincenzo Ferro -- Quel viso’ov’e l’albergo del mio core -- Come nave ch’in mezo’all’onde sia -- Cosi son’io nel piant’aspr’et amaro -- L’aura celeste che si dolcemente (seconda parte: Et io che sempre desioso e intento) -- Cosi soav’ e’l fuoco e dolc’il laccio / Il Caldarino -- S’all’hor che piu sperai da voi conforto / Paulo Animuccia,"Madrigals, Italian"
1432,4547385,"Secondo libro delle Muse, a quattro voci : Madrigali ariosi",,"Madrigali ariosi. libro 2 ; Voi mi ponest’in foco ; Fra bei Ginebr’e mirti ; O fortunate Cice, il cui bel viso ; Donna felic’e bella dal cui felice ; Florit’e verdi colli ; Misero lui sopra tutt’altr’amanti ; Altra mattin’ assai piu de l’usato ; Donna l’ardente fiamma e la pen’e’l tormento ; Dolorosi martir, fieri tormenti, duri ceppi ; Io vò fuggendo per deserte piagge ; Fiamm’ove tutt’ardo è giunt’al core ; Deh hor foss’io ; S’amor crudel’ ira to à darmi morte ; Corrò la fresch’e mattutina rosa ; Io procaccio martir ; Chi salirà per me madonn’in cielo ; Era il bel viso suo qual esser suole ; Pensier dicea che’l cor m’agghiacc’et ardi ; Qual sventurato mai ; Tu mi ponest’innanz’ a gli occh’amore ; Chiare, fresche, e dolci acque ; S’infinita bellezza e leggiadria ; Doglia mi’acerba ; Moro sol per amarvi","Muse a 4 voci, libro 2",,"Barré, Antonio [printer] ; Monaldeschi della Cervara, Monaldo ; Palestrina, Giovanni Pierluigi da ; Lerma ; Animuccia, Paolo ; Roussel, François ; Berchem, Jachet de ; Rossi, Giovanni Maria de ; Monte, Philippe de ; Lasso, Orlando di ; Matelart, Joanne ; Nola, Gian Domenico del Giovane da ; Wert, Giaches de ; Fuligno, Paulo da ; Lupacchino, Bernardino ; Arcadelt, Jacob",1558,Italy,Rome,Antonio Barre,"Collection of madrigals in four parts (SATB); Arcadelt's 'S’infinita bellezz’ & leggiadria' is in five parts ; Title from the Basso part book title page ; Transcribed title page from the Basso part book: SECONDO LIBRO DELLE / MVSE, A QVATTRO VOCI. / MADRIGALI ARIOSI, DE DIVERSI / ECCELL.mi AVTORI, CON DOE CANZONI DI / GIANNETTO, DI NVOVO RACCOLTI ET DATI N LVCE. / BASSO. / CON GRATIA ET PRIVILEGGIO PER ANNI X ; Decorative title page including the words: AFFERVUNT MALORVM OBLIVIONEM SOLATIVM CVRARVM ; Copy at A.346.c. Basso: 16 leaves ([3], 4, 9, 6-26, 25-26, 28, 33-35, [36] p.); paper dimensions: 152 x 202 mm",Canzon.Prima parte. Voi mi ponest’in foco (seconda parte: Pero che da l’ardore; terza parte: Che se tant’a uoi piace; quarta parte: Et di uoi non mi doglio) / Giannetto -- Fra bei Ginebr’e mirti / Lerma -- O fortunate Cice il cui bel uiso / Ant. Barrè -- Donna felic’e bella dal cui felice / Paulo Animuccia -- Florit’e uerdi colli / Franc. Rossello -- Doglia mi’acerba / D’incerto -- Misero lui sopra tutt’altr’amanti (second parte: Et beato colui ch’a donna pia) / Giachetto Berchem -- L’altra mattin’ assai piu de l’usato / Il Rosso -- Donna l’ardente fiamma E la pen’e’l tormento / Il Rosso -- Moro sol per amarui / D’incerto -- Dolorosi martir fieri tormenti duri ceppi / Philippo de Monte -- Io uò fuggendo per deserte piagge / Orlande di Lassus -- La fiamm’oue tutt’ardo è giunt’al core / Paulo Animuccia -- Deh hor foss’io co’l uago de la luna adormentato / Orlando di Lassus -- S’amor crudel’ ira to à darmi morte / Ioan Matelart -- Corrò la fresch’e mattutina rosa / Ant. Barrè -- Io procaccio martir / Io. Dom. da Nola -- Chi salirà per me madonn’in cielo / Iacomo VVerth -- Era il bel uiso suo qual esser suole (seconda parte: Et nella face de begliocch’ acce[n]de) / Ant. Barrè -- Pensier dicea che’l cor m’agghiacc’et ardi / Paulo da Fuligno -- Qval suenturato mai / Lupachino -- Tv mi ponest’ina[n]z’ à gliocch’ amore / Paulo Animuccia -- Chiare fresche e dolci acque (seconda parte: Segliè pur mio destino; terza parte: Tempo verrà anchor; quarta parte: Da bei rami scendea; quinta parte: Qvante uolte diss’ io allhor pien di spauento) / Giannetto -- S’infinita bellezz’ & leggiadria -- A 5 Voci / Archadelt,"Madrigals, Italian--16th century"
1433,4547386,Madregali ariosi a quatro voci. Libro secondo,,,,,"Animuccia, Paolo [composer] ; Barré, Antonio [composer] ; Berchem, Jachet de [composer] ; Bianchini, Domenico [composer] ; Caldarino [composer] ; Gardane, Antonio [printer] ; Lasso, Orlando di [composer] ; Lupacchino, Bernardino [composer] ; Monte, Philippe de [composer] ; Nola, Gian Domenico del Giovane da [composer] ; Palestrina, Giovanni Pierluigi da [composer] ; Roussel, François [composer] ; Ruffo, Vincenzo [composer] ; Wert, Giaches de [composer]",1560,Italy,Venice,Antonio Gardano,"Collection of madrigals and canzoni in four parts (SATB) with table of contents (‘Tavolla delli madrigali Numero 32’) separating madrigals and canzoni ; The composers named are the same as in libro 2 of the Muse a quattro voci (Roma: Appresso Antonio Barre, 1558), with the omission of Lerma, Matelart and Archadelt and the addition of Nicodemus ; Transcribed title page from tenor part book: MADREGALI ARIOSI / A QVATRO VOCI COMPOSTI DA DIVERSI / Eccellentissimi Autori, Nouamente Con somma diligentia stampatti. / LIBRO SECONDO / In Venetia Appresso di Antonio Gardano. / 1560 ; Copy at A.346.d. Digitised score at http://purl.org/rism/BI/1560/10 ; Copy at A.346.d. Tenor (16 leaves); original pagination: Tenor: [i], 1-30, [31] p.; paper dimensions: 148 x 212 mm",Canzon (Prima parte: Chiare fresch’e dolce acqua) (Seconda parte: Seglie pur mio destino) (Terza parte: Tempo verr’anchor) (Quarta parte: Da bei rami) (Quinta parte: Quante volte diss’io) / Giannetto -- Se da’i soavi accenti / Giannetto -- Mentre con suoi begliocchi / Il Caldarino -- Io procaccio martir / Joan Dominico da Nola -- Chi salira per me / Giaches Vverth -- Deh hor foss’io / Orlando di Lassus -- Era il bel viso suo (Seconda parte: Et nella face de begliocchi) / Antonio Barre -- Misero lui (Seconda parte: Et beato colui) / Giachet Berchem -- Doglia mi’acerba -- Fiorit’e verdi colli / Francesco Rosselli -- Dolorosi martir fieri tormenti / Philippo de Monte -- Moro sol per amarui -- Io vo fuggendo / Orlando di Lassus -- La fiamm’ove tutt’ardo / Paulo Animuccia -- Perche la vit’e breve / Nicodemus Canzon (Prima parte: Voi mi ponest’in foco) (Seconda parte: Pero che dal’ardore) (Terza parte: Che se tant’a voi piace) (Quarta parte: Et di voi non mi doglio) / Giannetto -- O fortunata Cice / Antonio Barre -- Donna felic’ e bella / Paulo animuccia -- Prima che spunt’il sol / Vicentio Ruffo -- L’altra mattina / Il Rosso -- Donna l’ardente fiamma / Il Rosso -- Qual sventurato mai / Lupachino -- Tu mi ponest’innanzi / Paulo Animuccia,"Madrigals, Italian"
1434,4547387,"Il Terzo Libro delle Muse a quattro voci : Madrigali ariosi, da diversi eccell. Musici raccolti, et dati in Luce",,,,,"Agostini, Lodovico [composer] ; Barré, Antonio [composer] ; Dentice, Luigi [composer] ; Lando, Stefano [composer] ; Lasso, Orlando di [composer] ; Lerma [composer] ; Maresio, Alessandro [composer] ; Monte, Philippe de [composer] ; Nola, Gian Domenico del Giovane da [composer] ; Palestrina, Giovanni Pierluigi da [composer] ; Piccolomini d'Aragonia, Indico [dedicatee] ; Rore, Cipriano de [composer] ; Roussel, François [composer] ; Ruffo, Vincenzo [composer] ; Sforza, Cardinal Guido Ascanio [other] ; Tarano, Hieronimo de [other] ; Zoilo, Annibale [composer]",1562,Italy,Rome,Antonio Barre,"Collection of madrigals in four parts ; Transcribed title page from cantus part book: IL TERZO LIBRO / DELLE MVSE A QVATTRO VOCI. MADRIGALI ARIOSI, DA DIVERSI ECCELL. / MVSICI RACCOLTI, ET DATI IN LVCE. / IN ROMA APPRESSO ANTONIO BARRE. M. D. LXII ; With table of contents in alphabetical order entitled 'TAVOLA delli madrigali numero 35' ; With printer's privilege granted by Cardinal Guido Ascanio Sforza and signed by Hieronimo de Tarano in Latin ; With a dedication to Indico Piccolomini d'Aragonia in Italian ; Copy at K.3.f.17. Canto (14 leaves), Tenore (14 leaves), Basso (14 leaves); Canto: [i-ii], 1-24, [25-26], Tenore: [i-ii], 1-24, [25-26], Basso: [i-ii], 1-24, [25-26]; paper dimensions: 148 x 205 mm ; Copy at K.3.f.17. Digitised score at http://purl.org/rism/BI/1562/7",Ben qui si mostr'il ciel / Cypriano Rore -- Amor mi strugge'l cor -- Quando piu spero’oyme / Ant. Barrè -- Madonna se con morte / Ant. Barrè -- Ultimi miei sospiri / Annibale Zoilo -- Nasce la pena mia -- Pien di novelli fior / Fran. Rossello -- Da bei vostri' occhi do[n]na / Alessandro. Maresio -- Certo' ò felici' amanti / Lerma -- Se per un sguardo / Phi. di Monte -- Da poi ch'amor cagion / Alessandro. Maresio -- Ben mi promeß'amor / Stef. Lando -- Non so qual maggior fede / Ant. Barrè -- S'e ver quel che si legge / Jo. Domenico di Nola -- Fausti nasco[n] gli' amor / Vin. Ruffo -- Nel gratioso tempo / Vin. Ruffo -- Den perche vò le mie piaghe / Jo. Domenico di Nola -- Nell'apparir qui de vostr'occhi / Vin. Ruffo -- I pia[n]go ed ella'il volto / S. Luigi dentici -- Gionto m'ha amor / Jo. Domenico di Nola -- Tutt'il di piango ne perche / Jo. Domenico di Nola -- Vide lontano / Francesco baratto -- Da poi ch'io viddi' / Gio. Pier Luigi.da Pallestrina -- Per ch'al viso d'amor / Jo. Pier Luigi -- Qua[n]do bascio talhor la do[n]na mia / Lerma -- Ov’è condotto'il mio amoroso stile (seconda parte: O noiosa mia vita) / Orlando di Lassus -- Ben veggio di lontan / Orlando di Lassus -- Voi mi ponesti'in foco / Phi. di Monte -- Se m'ars'e pu[n]se donna / Stefano. Lando -- Hor vedi’amor / Aless. Maresio -- Qual piu crudel martire / Gio. Pier Luigi.da Pallestrina -- In dubbio di mio stato / Orlando di Lassus -- Occhi soavi'et belli / Lodovico Agostini -- Rallegrar mi poß'io / Fran. Rossello,"Madrigals, Italian"
1439,4548737,Madrigali à cinque ... Libro Terzo. <Alto. - Basso.>,,,Giovanni Bernardino Nanino,1560-1623,,1612,Italy,Rome,Bartholomeo Zanetti,,,
1440,4548749,"Di Gio Maria Nanino ... Il Primo libro de Madrigali a Cinque voci Nouamente Ristampati, etc. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.)",,,Giovanni Maria Nanino,1543-1607,,1579,Italy,Venice,Angelo Gardano,Wanting,,
1441,4548750,Di Gio. Maria Nanino ... Il Primo Libro de Madrigali a Cinque Voci. Nouamente ... Ristampati. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.),,,Giovanni Maria Nanino,1543-1607,,1582,Italy,Venice,Angelo Gardano,,,
1442,4548751,"Il terzo libro de madrigal a cinqve voci : nouamente composti, & dati in luce",Madrigals. voices (5). book 3,Terzo libro de madrigal a cinque voci ; In su la destra parte ; Madrigals,Giovanni Maria Nanino,1543-1607,"Nanino, Giovanni Bernardino ; Nanino, Giovanni Maria, book 3, Amor mi fa morire ; Nanino, Giovanni Maria, book 3, Auror’ e’l giorn’e’l sole ; Nanino, Giovanni Maria, book 3, Bastava il chiaro viso ; Nanino, Giovanni Maria, book 3, Credetel voi che non sentite amore ; Nanino, Giovanni Maria, book 3, Da bei vostr’occhi et dal soave riso ; Nanino, Giovanni Maria, book 3, Da vaghe perle e da vermiglie rose ; Nanino, Giovanni Maria, book 3, Dhe coralli ridenti ; Nanino, Giovanni Maria, book 3, Di Venere tentò gran tempo il figlio ; Nanino, Giovanni Maria, book 3, Dolorosi martir fieri tormenti ; Nanino, Giovanni Maria, book 3, Eran disciol t’e sparte ; Nanino, Giovanni Maria, book 3, Morir puo’l vostro core ; Nanino, Giovanni Maria, book 3, Ne mai si lieto le chiarissim’ondele ; Nanino, Giovanni Maria, book 3, Non son’ le vostre mani ; Nanino, Giovanni Maria, book 3, Non veggio ove scampiar mi poss’homai ; Nanino, Giovanni Maria, book 3, Questo vostro fuggire ; Nanino, Giovanni Maria, book 3, S’a l’amorosa doglia ; Nanino, Giovanni Maria, book 3, Sopra il vago Esquilin’un tempio sorge ; Gardane (Firm) [printer]",1586,Italy,Venice,Angelo Gardano,"Madrigals for 5 voices (SATBQ), all composed by Giovanni Maria Nanino apart from 'In su la destra parte' composed by his brother Giovanni Bernadino Nanino ; Title from Alto part book ; With dedication page in Italian and table of contents ; Transcribed title page from Alto part book: ALTO / DI GIO. MARIA NANINO. / MVSICO NELLA CAPELLA DI SVA SANTITA / IL TERZO LIBRO DE MADRIGALI / A CINQVE VOCI. / Nouamente Composti, & dati in luce. / In Venetia Appresso Angelo Gardano / M.D.LXXXVI ; Copy at A.341.b. Alto (12 leaves)",Qvesto vostro fuggire -- Non veggio oue scampiar mi poss’homai (seconda parte: El’imagini lor son si consparte) -- Dhe coralli ridenti -- Amor mi fa morire -- Ne mai si lieto le chiarissim’ondele -- L’auror’ e’l giorn’e’l sole -- Non son’ le vostre mani -- In su la destra parte / di Gio. Belardino Nanino -- Sopra il vago Esquilin’un tempio sorge (seconda parte: Qviui che piu di pura et fredda neue) -- Da bei vostr’occhi et dal soaue riso -- Credetel voi che non sentite amore -- Di Venere tentò gra[n] tempo il figlio (seconda parte: On d’ei sdegn’acceso a querr’aperta) -- Dolorosi martir fieri tormenti -- Eran disciol t’e sparte -- S’a l’amorosa doglia -- Bastaua il chiaro viso -- Da vaghe perle e da vermiglie rose -- Morir puo’l vostro core,"Madrigals, Italian ; Choruses, Secular (Mixed voices, 5 parts), Unaccompanied"
1444,4548755,Madrigali a cinque voci,,Lasso ch’ogni augelletto ; Chiari cristalli ; Dolce fiammella mia ; Questa si bianca neve ; Vaneggio od’è vero ; Giocond’e crudo fato ; Amor deh dimmi come ; D’amor le ricche gemme ; Godeano in ciel ; Quand’io son tutto volto ; Dolorosi martir ; Lasso fia mai ; Vienn’Himeneo ; Volete pur ch’io mora ; Non m’è la morte strana ; Aventuroso più d’ogni altro colle ; Selva che di contenti,,,"Pasqualino, Lelio [dedicatee] ; Nanino, Giovanni Maria ; Stabile, Annibale ; Gardane (Firm) [publisher]",1581,Italy,Venice,Angelo Gardano,"Collection of madrigals in five parts (SATB5) ; With table of contents ('TAVOLA DELLI MADRIGALI') and dedication in Italian ; Title-page with Antonio Gardano’s printer mark: a lion and a bear facing each other with a banner draped around them the motto ‘CONCORDES VIRTVTE ET NATVRAE MIRACVLIS’ ; Title from Canto part book title page ; Transcribed title from Canto part book: CANTO / MADRIGALI A CINQVE VOCI / DI GIO. MARIA NANINO ET DI / ANNIBAL STABILE NOVAMENTE / Composti, & dati in luce. / In Venetia Appresso Angelo Gardano / M D LXXXI ; This is a new edition of RISM B/I, 1587¹⁰ ; Pagination: Canto ([i-ii], 1-21, [22] p.), Alto ([i-ii], 1-21, [22] p.), Tenore (1-21, [22] p.), Basso ([i-ii], 1-4, 9-12, 5-6, 13-16, 21, [22] p.), Quinto ([i-ii], 7-8, 17-18, 1-2, 12-11, 19-20, 3-10, 13-21, [22] p.) ; Copy at A.341. Canto (12 leaves), Alto (12 leaves), Tenore (11 leaves), Basso (9 leaves), Quinto (15 leaves); paper dimensions: Canto (149 x 206 mm), Alto (149 x 204 mm), Tenore (149 x 205 mm), Basso (148 x 204 mm), Quinto (149 x 204 mm) ; Copy at A.341. The basso and quinto part books have their leaves mixed and in the wrong order. The quinto part book contains the missing leaves from the basso part book",Lasso ch’ogni augelletto segue hor cantando l’amorosa schiera / Gio. Maria Nanino -- Chiari cristalli da begli occhi santi co’capei d’oro sciolti ond’Amor suole (seconda parte: Il Ciel fermossi ad a scoltar gli accenti) / Annibal Stabile -- Dolce fiammella mia s’hai tanto ardire / Gio. Maria Nanino -- Qvesta si bianca neue c’hor io dolce suggendo / Gio. Maria Nanino -- Vaneggio od’e uero ch’io mi senta nel core / Annibal Stabile -- Giocond’e crudo fato ch’en si oscura prigion / Gio. Maria Nanino -- Amor deh dimmi come sta nel cor di costei l’orgoglio e’l gelo / Gio. Maria Nanino -- D’Amor le ricche gemme Onde quasi gra[n] Regg’ei s’incorona / Annibal Stabile -- Godeano in Ciel fra la piu chiare stele Di Leda i figli (seconda parte: Non ti doler ch’il bel del paradiso) / Gio. Maria Nanino -- Qvand’io son tutto uolto in quella parte Oue’l bel uiso di Madonna luce (seconda parte: Cosi dauanti a i colpi della morte) / Annibal Stabile -- Dolorosi martir fieri tormenti Duri ceppi empi lacci aspre catene / Gio. Maria Nanino -- Lasso fia mai che dopo tante pene L’anima stanca riposar si possa / Annibal Stabile -- Vienn’Himeneo deh uieni Per che questa del ciel pura / Gio. Maria Nanino -- Volete pur ch’io mora o dolce mia nemica Prima ch’a uoi presente il mio mal dica / Annibal Stabile -- Non m’e la morte strana se morte dir si puo la morte mia / Annibal Stabile -- Aventuroso piu d’ogni altro colle Colle Augusto felice / Gio. Maria Nanino -- SELVA che di contenti Piaceri e gioia risonar GIA monti e piaggie / Gio. Maria Nanino,"Madrigals, Italian--16th century"
1445,4548756,Madrigali a cinque voci,,Lasso ch’ogni augelletto ; Chiari cristalli ; Dolce fiammella mia ; Questa si bianca neve ; Vaneggio od’è vero ; Giocond’e crudo fato ; Amor deh dimmi come ; D’amor le ricche gemme ; Godeano in ciel ; Quand’io son tutto volto ; Dolorosi martir ; Lasso fia mai ; Vienn’Himeneo ; Volete pur ch’io mora ; Non m’è la morte strana ; Aventuroso più d’ogni altro colle ; Selva che di contenti,,,"Nanino, Giovanni Maria ; Stabile, Annibale ; Gardane (Firm) [publisher]",1587,Italy,Venice,Angelo Gardano,"Collection of madrigals in five parts (SATB5) ; With table of contents ('TAVOLA DELLI MADRIGALI') ; Title-page with Antonio Gardano’s printer mark: a lion and a bear facing each other with a banner draped around them the motto ‘CONCORDES VIRTVTE ET NATVRAE MIRACVLIS’ ; Title from Canto part book title page ; Transcribed title from XXXX part book: CANTO / MADRIGALI A CINQVE VOCI / DI GIOVAN MARIA NANINO / ET DI ANNIBAL STABILE / Nouamente Ristampati. / In Venetia Appresso Angelo Gardano. / M. D. LXXXVII ; This is a new edition of RISM B/I, 1581¹⁰ ; Pagination: [i-ii], 1-21, [22] p. (Canto) ; Copy at A.341.a. Canto (12 leaves); paper dimensions: 144 x 201 mm",Lasso ch’ogni augelletto Segue hor cantando l’amorosa schiera / Gio. Maria Nanino -- Chiari cristalli da begliocchi santi Co’capei d’oro sciolti ond’amor suole (seconda parte: Il Ciel fermossi ad a scoltar gli accenti) / Annibal Stabile -- Dolce fiammella mia s’hai tanto ardire / Gio. Maria Nanino -- Qvesta si bianca neue C’hor io dolce suggendo / Gio. Maria Nanino -- Vaneggio od’è pur vero Ch’io mi senta nel core / Annibal Stabile -- Giocond’e crudo fato Che’n si oscura prigion / Gio. Maria Nanino -- Amor deh dimmi come Sta nel cor di costei l’orgoglio e’l gelo / Gio. Maria Nanino -- D’Amor le ricche gemme Onde quasi gra[n] Regg’ei sincorona / Annibal Stabile -- Godeano in Ciel fra le piu chiare stele Di Leda i figli (seconda parte: Non ti doler ch’il bel del paradiso) / Gio.Maria Nanino -- Qvand’io son tutto volto in quella parte Oue’l bel viso di Madonna luce (seconda parte: Cosi dauanti à i colpi della morte) / Annibal Stabile -- Dolorosi martir fieri tormenti Duri ceppi empi lacci aspre catene / Gio. Maria Nanino -- Lasso fia mai che dopo tante pene L’anima stanca riposar si possa / Annibal Stabile -- Vien’Himeneo deh vieni Per che questa del ciel pura / Gio. Maria Nanino -- Volete pur ch’io mora O dolce nemica Prima ch’à voi presente il mio mal dica / Annibal Stabile -- Non m’è la morte strana Se morte dir si puo la morte mia / Annibal Stabile -- Aventuroso piu d’ogni altro colle Colle Augusto felice / Gio. Maria Nanino -- SELVA che di contenti Piaceri e gioia risonar faceui GIA monti e piaggie hor velove ne leui / Gio. Maria Nanino,
1446,4548983,Le Canzon et Madrigali a Sei Voci con uno Dialogo a Sette ... Nouamente ... ristampati. Canto,,,Giovanni Nasco,1510-1561,,1562,Italy,Venice,Antonio Gardano,,,
1447,4548985,"Di Giouan Nasco Il Segondo Libro d'i Madrigali a cinque Voci, doue si contengono tutte le macharronee del ditto autore Nouamente ... stampato, etc. Cantus. (Tenor.)",,,Giovanni Nasco,1510-1561,,1557,Italy,Venice,Antonio Gardano,,,
1450,4551149,Di Pomponio Nenna ... Il Primo Libro de Madrigali à Cinque voci. Nouamente dati in luce. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.) Stampa del Gardano,,,Pomponio Nenna,1550- 1613,,1617,Italy,Venice,Bartholomeo Magni,Also containing madrigals by S. Felis,,
1451,4551150,Di Pomponio Nenna ... Il Primo Libro de Madrigali à Cinque voci. Nouamente dati in luce. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.) Stampa del Gardano,,,Pomponio Nenna,1550- 1613,,1617,Italy,Venice,Bartholomeo Magni,Another copy of C.290. Basso.],,
1452,4551151,Di Pomponio Nenna ... Il Quarto Libro de Madrigali à Cinque Voci. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.),,,Pomponio Nenna,1550- 1613,,1609,Italy,Venice,"Angelo Gardano, & Fratelli",,,
1453,4551152,Di Pomponio Nenna ... Il Quarto Libro de Madrigali à Cinque voci. Terza Impressione. Basso. Stampa del Gardano,,,Pomponio Nenna,1550- 1613,,1617,Italy,Venice,Bartholomeo Magni,,,
1454,4551153,Di Pomponio Nenna ... Madrigali a Cinque voci. Quinto Libro. Nouamente Stampati. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.),,,Pomponio Nenna,1550- 1613,,1612,Italy,Venice,l'Herede di Angelo Gardano,,,
1455,4551154,Di Pomponio Nenna ... Il Sesto Libro de Madrigali à cinque voci. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.),,,Pomponio Nenna,1550- 1613,,1607,Italy,Naples,"Gio Battista Sottile, Per Scipione Bonino",,,
1456,4551155,Di Pomponio Nenna ... Il Sesto Libro de Madrigali à cinque voci. Nouamente Ristampati. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.) Stampa del Gardano,,,Pomponio Nenna,1550- 1613,,1614,Italy,Venice,Ære Bartholomei Magni,,,
1457,4551156,Di Pomponio Nenna ... Il Settimo Libro de Madrigali à Cinque Voci. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.),,,Pomponio Nenna,1550- 1613,,1608,Italy,Naples,"Gio Battista Sottile, Per Scipione Bonino",,,
1458,4551157,Di Pomponio Nenna ... Il Settimo Libro de Madrigali à Cinque Voci. Terza Impressione. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.) Stampa del Gardano,,,Pomponio Nenna,1550- 1613,,1616,Italy,Venice,Bartholomeo Magni,,,
1459,4551158,Di Pomponio Nenna ... il Settimo Libro de Madrigali à Cinque Voci. Quarta Impressione. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.),,,Pomponio Nenna,1550- 1613,,1624,Italy,Venice,Bartholomeo Magni,,,
1460,4551159,Di Pomponio Nenna ... il Settimo Libro de Madrigali à Cinque Voci. Quarta Impressione. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.),,,Pomponio Nenna,1550- 1613,,1624,Italy,Venice,Bartholomeo Magni,Another copy of R.M.15.e.2.(12.) Basso,,
1461,4551160,"Di Pomponio Nenna ... L'Ottauo Libro de Madrigali a Cinque. Nouamente ... dati in luce da F. Archilei, etc. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.)",,,Pomponio Nenna,1550- 1613,"Archilei, Ferdinando",1618,Italy,Rome,Gio Battista Robletti,This work also contains madrigals by Gervasio Melcarne and the Prince of Venosa,,
