,Madrigal,Composer single madrigal,Voices,Keywords,Composer collection,Keywords_en
1613,Per pianto la mia carne si distilla,Orlando di Lassus,4,"['pianto', 'carne', 'distilla']",Orlando di Lasso,"['tears', 'flesh', 'distilled']"
1614,Vivo sol di speranza rimembrando,Orlando di Lassus,4,"['vivo', 'sol', 'speranza', 'rimembrando']",Orlando di Lasso,"['live', 'hope', 'remembering']"
1615,Giovane donna i vaghi’e dolc’accenti,,4,"['giovane', 'donna', 'vaghi’e', 'dolc’accenti']",Orlando di Lasso,"['young', 'woman', 'vague', 'sweet', 'accents']"
1616,Queste non son piu lagrime,Orlando di Lassus,4,"['piu', 'lagrime']",Orlando di Lasso,"['longer', 'tears']"
1617,Canzon d’Orlando. Del freddo Rheno alla sinistra riva (seconda stanza: Ch’il credera perche lo dica’il sole,,4,"['canzon', 'd’orlando', 'freddo', 'rheno', 'sinistra', 'riva', '(seconda', 'stanza', 'ch’il', 'credera', 'perche', 'dica’il', 'sole']",Orlando di Lasso,"['canzon', ""d'orlando"", 'cold', 'rheno', 'left', 'bank', '(second', 'stanza', ""ch'il"", 'credera', 'perche', ""dica'il"", 'sole']"
1618,terza stanza: Rottava et e pur ver di puro foco,,4,"['terza', 'stanza', 'rottava', 'pur', 'ver', 'puro', 'foco']",Orlando di Lasso,"['third', 'stanza', 'rottava', 'pur', 'ver', 'pure', 'foco']"
1619,quarta stanza: Si fe cristallo il fium’e’n tale stato,,4,"['quarta', 'stanza', 'fe', 'cristallo', 'fium’e’n', 'tale', 'stato']",Orlando di Lasso,"['fourth', 'stanza', 'river', 'became', 'crystal', 'state']"
1620,quinta stanza: Et io qual fui restai senza la voce,,4,"['quinta', 'stanza', 'qual', 'restai', 'senza', 'voce']",Orlando di Lasso,"['fifth', 'stanza', 'remained', 'without', 'voice']"
1621,sesta & ultima stanza: Hor su la nuda terr’hora su l’herbe),Orlando,4,"['sesta', '&', 'ultima', 'stanza', 'hor', 'nuda', 'terr’hora', 'l’herbe)']",Orlando di Lasso,"['sixth', 'last', 'stanza', 'hot', 'nuda', 'terra', 'ora', ""l'herbe)""]"
1622,Appariran per me le stell’in cielo,Orlandi di Lassus,4,"['appariran', 'stell’in', 'cielo']",Orlando di Lasso,"['appear', 'stars', 'sky']"
1623,Non vi vieto per questo ch’avrei torto,Orlando di Lassus,4,"['vieto', 'ch’avrei', 'torto']",Orlando di Lasso,"['forbid', 'would', 'wrong']"
1624,Donna s’amor e’in voi summo desio,Giovanni Lochemburgo,4,"['donna', 's’amor', 'e’in', 'summo', 'desio']",Orlando di Lasso,"['donna', 'love', 'much']"
1625,Quanto’il mio duol senza conforto sia,Orlando di Lassus,4,"['quanto’il', 'duol', 'senza', 'conforto']",Orlando di Lasso,"['much', 'comfortless', 'duol']"
1626,Quel si grave dolore ch’io senti nell’accerba mia partita,Giovanni Lochemburgo,4,"['quel', 'grave', 'dolore', 'ch’io', 'senti', 'nell’accerba', 'partita']",Orlando di Lasso,"['grave', 'pain', 'feel', 'accerbation', 'departure']"
1627,Se vi fur’ & vi son’ & saran sempre (risposta: S’in voi puo dirsi’haver posto cortesi),Giovanni Lochemburgo,4,"['fur’', '&', 'son’', '&', 'saran', 'sempre', '(risposta', 's’in', 'puo', 'dirsi’haver', 'posto', 'cortesi)']",Orlando di Lasso,"['fur', '&', 'son', '&', 'saran', 'semper', '(answer', ""s'in"", 'può', ""dirsi'haver"", 'posto', 'courteous)']"
1628,Donna gentil l’alma bellezza vostra,Giovanni Lochemburgo,4,"['donna', 'gentil', 'l’alma', 'bellezza']",Orlando di Lasso,"['gentle', 'woman', 'soulful', 'beauty']"
1629,Quando da voi madonna son lontano,Giovan Dominico de Nola,4,"['quando', 'madonna', 'lontano']",Orlando di Lasso,"[""i'm"", 'far', 'madam']"
1630,Perch’io veggio e mi spiace,Orlando di Lassus,4,"['perch’io', 'veggio', 'spiace']",Orlando di Lasso,"['see', ""i'm"", 'sorry']"
1631,Vatene lieta homai coppia d’amici,Orlando di Lassus,4,"['vatene', 'lieta', 'homai', 'coppia', 'd’amici']",Orlando di Lasso,"['chains', 'glad', 'ever', 'couple', 'friends']"
1632,"Canzon. Prima stanza. Sovra una verde riva (seconda stanza: Apri l’uscio per tempo) (terza stanza, a3: Valli vicini e rupi) (quarta stanza: Nascan herbett’et fiori) (quinta stanza, a3: In questo dì giocondo) (sesta stanza: Mentre per questi monti) (ultima stanza: Per cortesia canzon)",D’incerto,4,"['canzon', 'prima', 'stanza', 'sovra', 'verde', 'riva', '(seconda', 'stanza', 'apri', 'l’uscio', 'tempo)', '(terza', 'stanza', 'a3', 'valli', 'vicini', 'rupi)', '(quarta', 'stanza', 'nascan', 'herbett’et', 'fiori)', '(quinta', 'stanza', 'a3', 'dì', 'giocondo)', '(sesta', 'stanza', 'mentre', 'monti)', '(ultima', 'stanza', 'cortesia', 'canzon)']",Orlando di Lasso,"['song', 'first', 'room', 'sovra', 'verde', 'riva', '(second', 'stanza', 'open', 'door', 'time)', '(third', 'stanza', 'a3', 'nearby', 'valleys', 'cliffs)', '(fourth', 'stanza', 'nascan', ""herbett'et"", 'fiori)', '(fifth', 'stanza', 'a3', 'giocondo)', '(sixth', 'stanza', 'mountains)', '(last', 'stanza', 'courtesy', 'canzon)']"
1633,"Canzon. Prima parte. Giovane donna (seconda stanza: All’hor saranno i miei pensier) (terza stanza: Ma perche vola il tempo) (quarta stanza: Non fur giamai veduti) (quinta stanza: Itemo di cangiar) (sesta, & ult. stanza: Dentro pur foco)",Francesco Rosselli,4,"['canzon', 'prima', 'parte', 'giovane', 'donna', '(seconda', 'stanza', 'all’hor', 'pensier)', '(terza', 'stanza', 'perche', 'vola', 'tempo)', '(quarta', 'stanza', 'fur', 'giamai', 'veduti)', '(quinta', 'stanza', 'itemo', 'cangiar)', '(sesta', '&', 'ult', 'stanza', 'dentro', 'pur', 'foco)']",Orlando di Lasso,"['song', 'first', 'part', 'young', 'woman', '(second', 'stanza', ""all'hor"", 'thoughts)', '(third', 'stanza', 'time', 'fly)', '(fourth', 'stanza', 'fur', 'giamai', 'veduti)', '(fifth', 'stanza', 'itemo', 'cangiar)', '(sixth', '&', 'last', 'stanza', 'inside', 'pure', 'fire)']"
1634,Se ben l’empia mia sorte,Orlando di Lassus,4,"['ben', 'l’empia', 'sorte']",Orlando di Lasso,"['well', 'wicked', 'fate']"
1635,Del mio navigar,Costanzo porta,4,['navigar'],Orlando di Lasso,['navigation']
1636,Per pianto la mia carne (Seconda parte: Vivo sol di speranza),Orlando di Lassus,4,"['pianto', 'carne', '(seconda', 'parte', 'vivo', 'sol', 'speranza)']",Orlando di Lasso,"['crying', 'flesh', '(second', 'part', 'live', 'alone', 'hope)']"
1637,Queste non son piu lagrime,Orlando di Lassus,4,"['piu', 'lagrime']",Orlando di Lasso,"['longer', 'tears']"
1638,Canzon (Prima stanza: Del freddo Rheno) (Seconda stanza: Ch’il crederà) (Terza stanza: Rottava & è pur ver) (Quarta stanza: Si fe cristallo al fiume) (Quitna (sic) stanza: Et io qual fui restai) (Sesta & ultima stanza: Hor su la nuda terra),Orlando,4,"['canzon', '(prima', 'stanza', 'freddo', 'rheno)', '(seconda', 'stanza', 'ch’il', 'crederà)', '(terza', 'stanza', 'rottava', '&', 'pur', 'ver)', '(quarta', 'stanza', 'fe', 'cristallo', 'fiume)', '(quitna', '(sic)', 'stanza', 'qual', 'restai)', '(sesta', '&', 'ultima', 'stanza', 'hor', 'nuda', 'terra)']",Orlando di Lasso,"['canzon', '(first', 'stanza', 'cold', 'rheno)', '(second', 'stanza', ""ch'il"", 'crederà)', '(third', 'stanza', 'rottava', '&', 'pur', 'ver)', '(fourth', 'stanza', 'fe', 'crystal', 'river)', '(quitna', '(sic)', 'stanza', 'qual', 'restai', ')', '(sixth', '&', 'last', 'stanza', 'hor', 'nuda', 'terra)']"
1639,Appariran per me le stell’in cielo,Orlando di Lassus,4,"['appariran', 'stell’in', 'cielo']",Orlando di Lasso,"['appear', 'stars', 'sky']"
1640,Non vi vieto per questo,Orlando di Lassus,4,['vieto'],Orlando di Lasso,['ban']
1641,Donna s’amor é in voi,Giovanni Lochemburgo,4,"['donna', 's’amor', 'é']",Orlando di Lasso,"['donna', ""s'amor""]"
1642,Quanto’l mio duol,Orlando di Lassus,4,"['quanto’l', 'duol']",Orlando di Lasso,"['much', 'pain']"
1643,Quel si grave dolore,Giovanni Lochemburgo,4,"['quel', 'grave', 'dolore']",Orlando di Lasso,"['serious', 'pain']"
1644,Se vi fur’& vi sono (Risposta) S’in voi puo dirsi,Giovanni Lochemburgo,4,"['fur’&', '(risposta)', 's’in', 'puo', 'dirsi']",Orlando di Lasso,"[""fur'&"", '(answer)', ""s'in"", 'può', 'dirsi']"
1645,Donna gentil,Giovanni Lochemburgo,4,"['donna', 'gentil']",Orlando di Lasso,"['gentle', 'woman']"
1646,Quando da voi Madonna,Gio. Dominico de Nola,4,"['quando', 'madonna']",Orlando di Lasso,['madonna']
1647,Perch’io veggio e mi spiace,Orlando di Lassus,4,"['perch’io', 'veggio', 'spiace']",Orlando di Lasso,"['see', ""i'm"", 'sorry']"
1648,Vatene lieta homai,Orlando di Lassus,4,"['vatene', 'lieta', 'homai']",Orlando di Lasso,"['vatene', 'lieta', 'give']"
1649,Canzon. Prima stanza: Sovra unà verde riva (seconda stanza: Apri l’uscio per tempo) (terza stanza a3: Valli vicini e rupi) (quarta stanza: Nascan herbett’e fiori) (quinta stanza a3: In questo dì giocondo) (sesta stanza: Mentre per questi monti) (Per cortesia canzon),,4,"['canzon', 'prima', 'stanza', 'sovra', 'unà', 'verde', 'riva', '(seconda', 'stanza', 'apri', 'l’uscio', 'tempo)', '(terza', 'stanza', 'a3', 'valli', 'vicini', 'rupi)', '(quarta', 'stanza', 'nascan', 'herbett’e', 'fiori)', '(quinta', 'stanza', 'a3', 'dì', 'giocondo)', '(sesta', 'stanza', 'mentre', 'monti)', '(per', 'cortesia', 'canzon)']",Orlando di Lasso,"['song', 'first', 'stanza', 'sovra', 'unà', 'verde', 'riva', '(second', 'stanza', 'open', 'door', 'time)', '(third', 'stanza', 'a3', 'nearby', 'valleys', 'cliffs)', '(fourth', 'stanza', 'nascan', ""herbett'e"", 'fiori)', '(fifth', 'stanza', 'a3', 'giocondo)', '(sixth', 'stanza', 'mountains)', '(please', 'song)']"
1650,Canzon. Prima stanza: Giovane donna (seconda stanza: All’hor saran i mei pensieri) (terza stanza: Ma perche vola’l tempo) (quarta stanza: Non fur giammai veduti) (quinta stanza: I temo di cangiar) (sesta & ultima stanza: Dentro pur foco),Francesco Roscelli,4,"['canzon', 'prima', 'stanza', 'giovane', 'donna', '(seconda', 'stanza', 'all’hor', 'saran', 'mei', 'pensieri)', '(terza', 'stanza', 'perche', 'vola’l', 'tempo)', '(quarta', 'stanza', 'fur', 'giammai', 'veduti)', '(quinta', 'stanza', 'temo', 'cangiar)', '(sesta', '&', 'ultima', 'stanza', 'dentro', 'pur', 'foco)']",Orlando di Lasso,"['song', 'first', 'stanza', 'young', 'woman', '(second', 'stanza', ""all'hor"", 'saran', 'thoughts)', '(third', 'stanza', 'time', 'fly)', '(fourth', 'stanza', 'fur', 'giammai', 'veduti)', '(fifth', 'stanza', 'fear', 'cangiar)', '(sixth', '&', 'last', 'room', 'inside', 'pur', 'foco)']"
1651,Occhi piangete accompagnate il core,,4,"['occhi', 'piangete', 'accompagnate', 'core']",Orlando di Lasso,"['eyes', 'cry', 'accompany', 'core']"
1652,Orlando di Lassus,,4,"['orlando', 'lassus']",Orlando di Lasso,"['orlando', 'lassus']"
1653,Se ben l’empia mia sorte,Orlando di Lassus,4,"['ben', 'l’empia', 'sorte']",Orlando di Lasso,"['well', 'wicked', 'fate']"
1654,O del mio navigar,Constantio Porta,4,['navigar'],Orlando di Lasso,['navigation']
1655,CANZON. Standomi un giorno (seconda parte: Indi per alto mar) (terza parte: In un boschetto) (quarta parte: Chiara fontana) (quinta parte: Una strania Fenice) (sesta part: Al fin vidd’io),Orlando di Lassus,5,"['canzon', 'standomi', 'giorno', '(seconda', 'parte', 'indi', 'alto', 'mar)', '(terza', 'parte', 'boschetto)', '(quarta', 'parte', 'chiara', 'fontana)', '(quinta', 'parte', 'strania', 'fenice)', '(sesta', 'part', 'fin', 'vidd’io)']",Orlando di Lasso,"['songs', 'standomi', 'giorno', '(second', 'part', 'indi', 'alto', 'mare)', '(third', 'part', 'grove)', '(fourth', 'part', 'chiara', 'fontana)', '(fifth', 'part', 'strania', 'fenice)', '(sixth', 'part', 'fin', ""vidd'io)""]"
1656,Mentre fioriv’amor (seconda parte: Cosi aspettando),Orlando di lassus,5,"['mentre', 'fioriv’amor', '(seconda', 'parte', 'cosi', 'aspettando)']",Orlando di Lasso,"['flowers', 'love', '(second', 'part', 'waiting)']"
1657,Vostro fui vostro son,Orlando di Lassus,5,[],Orlando di Lasso,[]
1658,Quel chiaro sol (seconda parte: Che se la vers’),Orlando di Lassus,5,"['quel', 'chiaro', 'sol', '(seconda', 'parte', 'vers’)']",Orlando di Lasso,"['clear', 'sol', '(second', 'part', ""vers')""]"
1659,Quanto piu v’am’ogn hor (seconda parte: Nasca’in me dunq’ogn’hor nuovo desio),Antonio Barre,5,"['piu', 'v’am’ogn', 'hor', '(seconda', 'parte', 'nasca’in', 'dunq’ogn’hor', 'nuovo', 'desio)']",Orlando di Lasso,"['much', ""v'am'ogn'hor"", '(second', 'part', ""nasca'in"", ""dunq'ogn'hor"", 'nuovo', 'desio)']"
1660,Evro gentil se d’amoroso ardore (seconda parte: Et in sembiante),Orlando di lassus,5,"['evro', 'gentil', 'd’amoroso', 'ardore', '(seconda', 'parte', 'sembiante)']",Orlando di Lasso,"['evro', 'gentil', ""d'amoroso"", 'ardor', '(second', 'part', 'sembiante)']"
1661,Volgi cor mio la tua speranza (seconda parte: Et a noi restara),Orlando di lassus,5,"['volgi', 'cor', 'speranza', '(seconda', 'parte', 'restara)']",Orlando di Lasso,"['turn', 'hope', 'heart', '(second', 'part', 'restara)']"
1662,Ben si vedrà se la nemica mia,Hector Vidue,5,"['ben', 'vedrà', 'nemica']",Orlando di Lasso,"['well', 'seen', 'enemy']"
1663,Questi ch’inditio fan,Orlando di Lassus,5,"['ch’inditio', 'fan']",Orlando di Lasso,"[""ch'indition"", 'fan']"
1664,In dubbio di mio,Paulo Animuccia,5,['dubbio'],Orlando di Lasso,['doubt']
1665,In qual parte del ciel (seconda parte: Per divina bellezza),Orlando di Lassus,5,"['qual', 'parte', 'ciel', '(seconda', 'parte', 'divina', 'bellezza)']",Orlando di Lasso,"['qual', 'parte', 'ciel', '(second', 'part', 'divine', 'beauty)']"
1666,Io son si stanco sotto il grave peso (seconda parte: Hora per far),Orlando di Lassus,5,"['stanco', 'sotto', 'grave', 'peso', '(seconda', 'parte', 'hora', 'far)']",Orlando di Lasso,"['tired', 'heavy', 'weight', '(second', 'part', 'hora', 'far)']"
1667,Candid’allhor del ciel,Orlando di Lassus,5,"['candid’allhor', 'ciel']",Orlando di Lasso,"['candid’allhor', 'ciel']"
1668,Stadomi vn giorno solo alla fenestra (seconda parte: Indi per alto mar vidi vna nave,,5,"['stadomi', 'vn', 'giorno', 'solo', 'fenestra', '(seconda', 'parte', 'indi', 'alto', 'mar', 'vidi', 'vna', 'nave']",Orlando di Lasso,"['stadomi', 'vn', 'giorno', 'solo', 'fenestra', '(second', 'part', 'indi', 'alto', 'mar', 'vidi', 'vna', 'nave']"
1669,terza parte: In vn boschetto nouo i rami santi,,5,"['terza', 'parte', 'vn', 'boschetto', 'nouo', 'rami', 'santi']",Orlando di Lasso,"['third', 'part', 'new', 'grove', 'holy', 'branches']"
1670,quarta parte: Chiara fontana in quel medesmo bosco,,5,"['quarta', 'parte', 'chiara', 'fontana', 'quel', 'medesmo', 'bosco']",Orlando di Lasso,"['fourth', 'part', 'clear', 'fountain', 'wood']"
1671,quinta parte: Una strania fenice ambe due l’ale,,5,"['quinta', 'parte', 'strania', 'fenice', 'ambe', 'due', 'l’ale']",Orlando di Lasso,"['fifth', 'part', 'foreign', 'phoenix', 'wings']"
1672,sesta parte: Al fin vid’io per entro i fiori l’herba),,5,"['sesta', 'parte', 'fin', 'vid’io', 'entro', 'fiori', 'l’herba)']",Orlando di Lasso,"['sixth', 'part', 'end', 'saw', 'grass', 'within', 'flowers)']"
1673,Mentre fioriu’amor l’alta mia speme (seconda parte: Cosi aspettando da te ingrat’andai),,5,"['mentre', 'fioriu’amor', 'l’alta', 'speme', '(seconda', 'parte', 'cosi', 'aspettando', 'ingrat’andai)']",Orlando di Lasso,"['high', 'hope', 'bloom', '(second', 'part', 'waiting', 'ungrateful', 'went)']"
1674,Vostro fui vostro son & saro vostro,,5,"['&', 'saro']",Orlando di Lasso,['&']
1675,Quel chiaro sol che tragge indi lontano (seconda parte: Che se la vers’ond’a noi mena il giorno),,5,"['quel', 'chiaro', 'sol', 'tragge', 'indi', 'lontano', '(seconda', 'parte', 'vers’ond’a', 'mena', 'giorno)']",Orlando di Lasso,"['clear', 'sun', 'draws', 'afar', '(second', 'part', ""vers'ond'a"", 'brings', 'day)']"
1676,Quando piu v’am’ogn’hor piu bella sete (seconda parte: Nasca in me dunqu’ogn’hor nuouo desio),,5,"['quando', 'piu', 'v’am’ogn’hor', 'piu', 'bella', 'sete', '(seconda', 'parte', 'nasca', 'dunqu’ogn’hor', 'nuouo', 'desio)']",Orlando di Lasso,"['love', 'beautiful', 'thirst', '(second', 'part', 'nasca', ""dunqu'ogn'hor"", 'nuouo', 'desio)']"
1677,Evro gentil se d’amoroso ardore (seconda parte: Et in sembiante riuerente e humile),,5,"['evro', 'gentil', 'd’amoroso', 'ardore', '(seconda', 'parte', 'sembiante', 'riuerente', 'humile)']",Orlando di Lasso,"['evro', 'gentil', ""d'amoroso"", 'ardore', '(second', 'part', 'sembiante', 'riverente', 'humile)']"
1678,Volgi cor mio la tua speranza homai (seconda parte: Et a noi restara fra sdegni et ire),,5,"['volgi', 'cor', 'speranza', 'homai', '(seconda', 'parte', 'restara', 'fra', 'sdegni', 'ire)']",Orlando di Lasso,"['turn', 'hope', 'heart', '(second', 'part', 'restara', 'fra', 'sdegni', 'ire)']"
1679,Ben si vedrà se la nemica mia,Hector Vidue,5,"['ben', 'vedrà', 'nemica']",Orlando di Lasso,"['well', 'seen', 'enemy']"
1680,Questi ch’inditio fan del mio tormento,,5,"['ch’inditio', 'fan', 'tormento']",Orlando di Lasso,"['inditio', 'fans', 'torment']"
1681,[In dubbio di mio stat’hor piange] hor canto,Paulo Animuccia,5,"['[in', 'dubbio', 'stat’hor', 'piange]', 'hor', 'canto']",Orlando di Lasso,"['[in', 'doubt', ""stat'hor"", 'weeping]', 'hor', 'singing']"
1682,In qual parte del ciel in qual idea (secunda parte: Per diuina bellezza indarno mira),,5,"['qual', 'parte', 'ciel', 'qual', 'idea', '(secunda', 'parte', 'diuina', 'bellezza', 'indarno', 'mira)']",Orlando di Lasso,"['qual', 'parte', 'ciel', 'qual', 'idea', '(second', 'part', 'diuina', 'bellezza', 'indarno', 'mira)']"
1683,Io son si stanco sotto il graue peso (seconda parte: Hora per far le mie dolcezz’amare),,5,"['stanco', 'sotto', 'graue', 'peso', '(seconda', 'parte', 'hora', 'far', 'dolcezz’amare)']",Orlando di Lasso,"['tired', 'heavy', 'weight', '(second', 'part', 'make', 'bitter', 'sweetness)']"
1684,Candida all’hor dal ciel sces’angioletta,,5,"['candida', 'all’hor', 'ciel', 'sces’angioletta']",Orlando di Lasso,"['candida', ""all'hor"", 'ciel', ""sces'angioletta""]"
1685,Fascicolo I,,5,['fascicolo'],Luca Marenzio,['file']
1686,Fascicolo II,,5,"['fascicolo', 'ii']",Luca Marenzio,"['file', 'ii']"
1687,Fascicolo III,,5,"['fascicolo', 'iii']",Luca Marenzio,"['file', 'iii']"
1688,L'aura serena (prima parte) Le quali: Ella spargease dolcemente (seconda parte),,6,"[""l'aura"", 'serena', '(prima', 'parte)', 'quali', 'ella', 'spargease', 'dolcemente', '(seconda', 'parte)']",Luca Marenzio,"['serene', '(first', 'part)', 'spreads', 'gently', '(second', 'part)']"
1689,Cantai gia lieto il mio libero stato (prima parte) Che la mia donna (seconda parte),,6,"['cantai', 'gia', 'lieto', 'libero', 'stato', '(prima', 'parte)', 'donna', '(seconda', 'parte)']",Luca Marenzio,"['already', 'happy', 'sang', 'free', 'state', '(first', 'part)', 'woman', '(second', 'part)']"
1690,Donna piu d'altr'adorna,,6,"['donna', 'piu', ""d'altr'adorna""]",Luca Marenzio,"['donna', 'piu', 'another', 'decorates']"
1691,O quante volte in van cor mio,,6,"['volte', 'van', 'cor']",Luca Marenzio,"['many', 'times', 'vanity']"
1692,Se bramate ch'io mora,,6,"['bramate', ""ch'io"", 'mora']",Luca Marenzio,['long']
1693,S'a veder voi non ve[n]go,,6,"[""s'a"", 'veder', 've[n]go']",Luca Marenzio,"['see', '[n]go']"
1694,Baci soavi e cari (prima parte) Baci amorosi e belli (seconda parte) Baci affammati e'n gordi (terza parte) Baci cortesi e grati (quarta parte) Baci ohime (quinta & ultima parte),,6,"['baci', 'soavi', 'cari', '(prima', 'parte)', 'baci', 'amorosi', 'belli', '(seconda', 'parte)', 'baci', 'affammati', ""e'n"", 'gordi', '(terza', 'parte)', 'baci', 'cortesi', 'grati', '(quarta', 'parte)', 'baci', 'ohime', '(quinta', '&', 'ultima', 'parte)']",Luca Marenzio,"['soavi', 'dear', 'kisses', '(first', 'part)', 'amorous', 'beautiful', 'kisses', '(second', 'part)', 'hungry', 'gorgeous', 'kisses', '(third', 'part)', 'courteous', 'grateful', 'kisses', '(fourth', 'part)', 'ohime', 'kisses', '(fifth', '&', 'last', 'part)']"
1695,Viurò dunque lontano,,6,"['viurò', 'dunque', 'lontano']",Luca Marenzio,"['travel', 'far']"
1696,Dansava con maniere (prima parte) Son presa diss'e à me (seconda parte),,6,"['dansava', 'maniere', '(prima', 'parte)', 'presa', ""diss'e"", '(seconda', 'parte)']",Luca Marenzio,"['dansava', 'mannere', '(first', 'part)', 'presa', ""diss'e"", '(second', 'part)']"
1697,Amatemi ben mio,,6,"['amatemi', 'ben']",Luca Marenzio,"['love', 'dear']"
1698,Fuggi speme mia,,6,"['fuggi', 'speme']",Luca Marenzio,"['flee', 'hope']"
1699,Non porta ghiaccio Aprile,,6,"['porta', 'ghiaccio', 'aprile']",Luca Marenzio,"['bring', 'ice', 'april']"
1700,Per duo coralli ardenti,,6,"['duo', 'coralli', 'ardenti']",Luca Marenzio,"['two', 'burning', 'corals']"
1701,Qual vive Salamandra,,6,"['qual', 'vive', 'salamandra']",Luca Marenzio,"['lives', 'salamander']"
1702,Io vidi gia sottol'ardente,,6,"['vidi', 'gia', ""sottol'ardente""]",Luca Marenzio,"['already', 'saw', 'fiery', 'one']"
1703,Posso cor mio partire,,6,"['posso', 'cor', 'partire']",Luca Marenzio,"['leave', 'heart']"
1704,Passando co[n] pensier per un boschetto (prima parte) Noi stare[m] troppo ch'el tempo si turba (seconda parte) Fuggendo tutte di paura piene (terza & vltima parte),,6,"['passando', 'co[n]', 'pensier', 'boschetto', '(prima', 'parte)', 'stare[m]', 'troppo', ""ch'el"", 'tempo', 'turba', '(seconda', 'parte)', 'fuggendo', 'tutte', 'paura', 'piene', '(terza', '&', 'vltima', 'parte)']",Luca Marenzio,"['passing', '[n]', 'thought', 'grove', '(first', 'part)', 'stay', '[m]', 'much', 'time', 'disturbed', '(second', 'part)', 'fleeing', 'full', 'fear', '(third', '&', 'vltima', 'part)']"
1705,Arsi gran tempo e del mio foco indegno (prima parte) Lasso e conosco (seconda parte),,6,"['arsi', 'gran', 'tempo', 'foco', 'indegno', '(prima', 'parte)', 'lasso', 'conosco', '(seconda', 'parte)']",Luca Marenzio,"['arsi', 'gran', 'tempo', 'foco', 'unworthy', '(first', 'part)', 'lasso', 'know', '(second', 'part)']"
1706,Leggiadrissima eterna Primauera (prima parte) Già le Muse (seconda parte),,6,"['leggiadrissima', 'eterna', 'primauera', '(prima', 'parte)', 'già', 'muse', '(seconda', 'parte)']",Luca Marenzio,"['graceful', 'eternal', 'primauera', '(first', 'part)', 'already', 'muses', '(second', 'part)']"
1707,O dolorosa sorte,,6,"['dolorosa', 'sorte']",Luca Marenzio,"['painful', 'luck']"
1708,Tutte sue squadre di miserie e stenti,,6,"['tutte', 'squadre', 'miserie', 'stenti']",Luca Marenzio,"['teams', 'miseries', 'hardships']"
1709,Stringeami Galatea fra le sue nude braccio (prima parte) Ella che se n'accorse (seconda parte),,6,"['stringeami', 'galatea', 'fra', 'nude', 'braccio', '(prima', 'parte)', 'ella', ""n'accorse"", '(seconda', 'parte)']",Luca Marenzio,"['hold', 'galatea', 'bare', 'arms', '(first', 'part)', 'ella', ""n'accorse"", '(second', 'part)']"
1710,"Caro Aminta pur vuoi (prima parte) Non puo Filli piu il core (seconda parte, risposta)",,6,"['caro', 'aminta', 'pur', 'vuoi', '(prima', 'parte)', 'puo', 'filli', 'piu', 'core', '(seconda', 'parte', 'risposta)']",Luca Marenzio,"['dear', 'aminta', 'even', 'want', '(first', 'part)', 'filli', 'core', ""can't"", '(second', 'part', 'answer)']"
1711,Ahime tal fu d'Amore,,6,"['ahime', 'tal', ""d'amore""]",Luca Marenzio,"['ahime', 'tal', ""d'amore""]"
1712,Vaghi capell'aurati,,6,"['vaghi', ""capell'aurati""]",Luca Marenzio,"['vaghi', ""capell'aurati""]"
1713,Nel dolce seno della bella Clori (prima parte) Perche l'vna e l'altr'alma insieme scocchi (seconda parte),,6,"['dolce', 'seno', 'bella', 'clori', '(prima', 'parte)', 'perche', ""l'vna"", ""l'altr'alma"", 'insieme', 'scocchi', '(seconda', 'parte)']",Luca Marenzio,"['sweet', 'bosom', 'beautiful', 'clori', '(first', 'part)', 'vna', 'soul', 'shoot', 'together', '(second', 'part)']"
1714,Dice la mia bellissima Licori,,6,"['dice', 'bellissima', 'licori']",Luca Marenzio,"['says', 'beautiful', 'licori']"
1715,Satiati Amor ch’a piu doglioso ama[n]te,,6,"['satiati', 'amor', 'ch’a', 'piu', 'doglioso', 'ama[n]te']",Luca Marenzio,"['satiati', 'amor', ""ch'a"", 'doglioso', 'ama[n]te']"
1716,Occhi: Sereni e chiari,,6,"['occhi', 'sereni', 'chiari']",Luca Marenzio,"['eyes', 'serene', 'clear']"
1717,Ne fero sdegno mai donna mi mosse (prima parte) Talche dovunque vò (seconda parte),,6,"['fero', 'sdegno', 'mai', 'donna', 'mosse', '(prima', 'parte)', 'talche', 'dovunque', 'vò', '(seconda', 'parte)']",Luca Marenzio,"['fero', 'disdegno', 'mai', 'donna', 'moved', '(first', 'part)', 'talche', 'dovunque', 'vò', '(second', 'part)']"
1718,Spiri dolce Fauonio Arabi odori (prima parte) Tacciano i venti (seconda parte),,6,"['spiri', 'dolce', 'fauonio', 'arabi', 'odori', '(prima', 'parte)', 'tacciano', 'venti', '(seconda', 'parte)']",Luca Marenzio,"['spiri', 'dolce', 'fauonio', 'arabi', 'smells', '(first', 'part)', 'silence', 'winds', '(second', 'part)']"
1719,Vaghi e lieti fanciulli,,6,"['vaghi', 'lieti', 'fanciulli']",Luca Marenzio,"['vague', 'happy', 'children']"
1720,Del cibo onde il signor mio sempr'abonda [prima parte] Con quella manche tanto desiai (seconda parte),,6,"['cibo', 'onde', 'signor', ""sempr'abonda"", '[prima', 'parte]', 'tanto', 'desiai', '(seconda', 'parte)']",Luca Marenzio,"['food', 'lord', 'always', 'abounds', '[first', 'part]', 'portion', 'much', 'desired', '(second', 'part)']"
1721,Piangea Filli e riuolte ambe le luci ,,6,"['piangea', 'filli', 'riuolte', 'ambe', 'luci']",Luca Marenzio,"['piangea', 'filli', 'turned', 'lights']"
